,Total Contributions,Max Give,Months Since Last Donation,Most Recent Give Amount,Number of Gives,Average Give Amount,strong envir support,very pro-gun control,dems in red seats,house races,gives in primaries,supports AZ campaigns,strong pp support,moderate dems,Networth,female,gender unsure,male,isWhite,isJewish,isAfam,isLatinx,isIrish,isAsian,Ethnicity unsure
53,200.0,5000,91,250,28,1232.0357142857142,0,0,1,0,0,0,0,0,16.20633086209068,1,0,0,0,0,1,0,0,0,0
54,200.0,1000,91,101,30,547.7,0,0,1,0,0,0,0,1,15.411771635976212,0,1,0,1,0,0,0,0,0,0
55,200.0,3500,91,100,12,566.6666666666666,0,0,1,0,0,1,0,1,14.922406442719886,0,1,0,1,0,0,0,0,0,0
56,210.0,1000,90,250,9,350.0,0,0,0,0,0,0,0,0,14.330140336748466,0,0,1,1,0,0,0,0,0,0
57,750.0,25000,90,15000,14,7373.214285714285,0,1,1,0,0,1,0,0,15.762305601099596,1,0,0,1,0,0,0,0,0,0
58,250.0,250,7,10,4,71.75,0,0,0,0,0,0,0,0,13.824097583701562,1,0,0,0,1,0,0,0,0,0
59,5.0,500,7,250,21,81.47619047619048,1,0,1,0,0,0,0,0,13.701807562612005,1,0,0,1,0,0,0,0,0,0
60,5.0,200,42,200,5,100.0,0,0,0,0,0,0,0,0,12.715164767650013,1,0,0,1,0,0,0,0,0,0
61,9.0,1000,42,50,26,60.30769230769231,0,0,1,0,0,0,1,0,13.994535854724033,1,0,0,0,0,1,0,0,0,0
62,10.0,1200,42,10,29,212.86206896551724,0,1,1,0,0,0,1,1,14.635209328903546,1,0,0,1,0,0,0,0,0,0
63,10.0,1000,42,250,19,191.05263157894737,0,0,1,0,0,0,0,0,14.262360702055096,0,0,1,1,0,0,0,0,0,0
64,10.0,3000,42,1001,11,1204.7272727272727,0,0,0,0,0,0,0,0,14.08810158118337,0,1,0,1,0,0,0,0,0,0
65,10.0,250,42,30,15,65.33333333333333,0,0,1,0,0,0,1,0,13.370258856622893,0,0,1,1,0,0,0,0,0,0
66,10.0,1000,42,1,21,116.9047619047619,0,0,1,0,0,0,1,0,13.346920329397042,1,0,0,1,0,0,0,0,0,0
67,14.0,1250,42,5,8,317.125,0,0,0,0,0,0,0,0,13.112216067151993,1,0,0,1,0,0,0,0,0,0
68,15.0,2900,42,35,29,437.6896551724138,0,0,1,0,0,0,1,0,15.580892341496723,1,0,0,0,0,0,1,0,0,0
69,24.0,100,19,50,7,39.285714285714285,0,0,0,0,0,0,0,0,13.084327082550685,0,1,0,1,0,0,0,0,0,0
70,25.0,300,19,250,9,250.0,0,0,0,0,1,1,1,1,14.262150878204007,0,0,1,1,0,0,0,0,0,0
71,25.0,300,19,300,28,152.03571428571428,1,0,1,0,0,0,1,0,14.97006010776136,0,0,1,1,0,0,0,0,0,0
72,25.0,7500,19,100,13,648.3846153846154,0,0,0,0,0,0,0,0,14.153664237310881,1,0,0,1,0,0,0,0,0,0
73,25.0,1000,19,501,27,188.11111111111111,0,1,1,0,0,0,0,0,14.294138143768066,1,0,0,1,0,0,0,0,0,0
74,25.0,2000,19,2000,4,718.75,0,0,1,0,0,1,0,0,13.591253887362592,0,0,1,1,0,0,0,0,0,0
75,25.0,500,19,15,10,131.0,0,0,1,0,0,0,0,0,13.554750805578538,0,0,1,1,0,0,0,0,0,0
76,25.0,425,19,275,10,176.0,1,0,0,0,0,1,0,0,14.478022226839045,1,0,0,1,0,0,0,0,0,0
